Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.928654906681764 75.8716344967771,26.951789172730898 75.79073136405674,26.935973916221617 75.86415344558344,26.937592537877126 75.83046789295358,26.90758273592498 75.90305104700533,26.964204631102792 75.84011966143028
26.845803090998206 75.76505371933155,26.773600759598196 75.83737278015391,26.899496461094937 75.66031477488924,26.937810859393018 75.79511475613648,26.964913289698455 75.71296769600997,26.924853373811533 75.86502533304956
26.772300096113664 75.83901006569243,26.86555052176607 75.71219650606525,26.891380817624544 75.84697360828895,26.85178071389412 75.8893112222456,26.897671425608113 75.87559426876358,26.794618072348307 75.82254021192895
26.937962254259254 75.8234947883046,26.965832805593987 75.81677632901321,26.788120911814545 75.85994174477625,26.94139082817556 75.81611243988445,26.986526681524857 75.78066529669003,26.89253974767925 75.6870890539226
26.9449917195763 75.70031758203059,26.903727223422553 75.717881562286,26.819422778917772 75.84271577418602,26.83905386065585 75.8316475261859,26.879655584135197 75.93236291014007,26.921766351503756 75.70084472395148
26.80533928734792 75.78941358899776,26.799134008305693 75.80672654869794,26.945405661757814 75.78303894404148,26.93065723864637 75.67441387275271,26.940670757775884 75.79477270595244,26.89922941727566 75.88396656649617
26.790355034815853 75.78829814372185,26.910127847430015 75.68403100989116,26.90666280739171 75.85087008906659,26.939085898298085 75.7491141823687,26.808047234886306 75.81965740503932,26.791960735647383 75.78488325598315
26.93005217130108 75.8826587307863,26.89500434014583 75.91987380295156,26.83990183263926 75.84598770790947,26.996907728374055 75.80580212629218,26.859635475048556 75.85423060325003,26.890193475035968 75.67609710980818
26.920834354949 75.71214322628737,26.901401115282475 75.78657669829285,26.970069796839923 75.81643687144506,26.81515141157678 75.89372294804137,26.91163176092105 75.87567166773793,26.990289672353985 75.75365212098419
26.897921485536923 75.8426333227289,26.93085012219887 75.66657162848165,26.92631151782165 75.70964025875034,26.887936595647624 75.69281130795827,26.88388333192521 75.71105540847898,26.91517283779518 75.71957513883605
26.963541738216566 75.75901884525896,26.922224291416626 75.75069566737207,26.796756685291047 75.86909182213671,26.83598279454015 75.84690865335536,26.82814257837849 75.74855691394268,26.945864821533434 75.83932118762715
27.00897782780301 75.77206795073612,26.81321311222345 75.85799938552194,26.960994939304406 75.79935365277989,26.930577051767386 75.711321305151,26.900999191217846 75.71644079215952,26.97228462725123 75.76311734102683
26.94216380813071 75.82351096722466,26.792966925300107 75.83971650451588,26.79783217390678 75.84847039191924,26.888494871437114 75.81302222617836,26.958439927095963 75.74341617182256,26.89142523983773 75.90510898977972
26.901113648553665 75.92165464585075,26.88597600163962 75.77361338741903,26.809683147700632 75.7781124200412,26.988913932630112 75.80042124421313,26.952796203132184 75.79016648184692,26.76256859862706 75.85422763723469
26.886182657977884 75.76863932316489,26.97099116243192 75.73872541328296,26.93631928901014 75.79734015379672,26.99288620556405 75.76020985729993,26.95473414169933 75.77585035481354,26.900861981610817 75.67304397262488
26.844161326489456 75.87460449603412,26.83106604976549 75.88739666813008,26.91954461557551 75.81567628176464,26.838655555996333 75.8957528841215,26.794411320948626 75.82164314551254,26.79051575105893 75.82146652579158
26.899391499995144 75.6947841538995,27.010484180820992 75.7843729581384,26.893984469407474 75.81631361971635,26.93416334112135 75.6932443154597,26.839053747521515 75.73431442883444,26.918436100094695 75.79106935854243
26.789898156789835 75.78882065141788,26.807903735691315 75.80313466181597,26.975419016569045 75.81805203437361,26.85270388188705 75.84511494289201,26.74964213609149 75.83853932925591,26.942874516496367 75.85890692330652
26.890350642404258 75.8569167031589,26.941762670948965 75.77058380324566,26.917262328710077 75.81363383357949,26.951346350822742 75.76145998954946,26.891983953974254 75.89063103393298,26.847019895713192 75.84679615994405
26.891606829639667 75.72005498704335,26.92225292299912 75.80789575994307,26.845845622538576 75.91278272557312,26.833303275013176 75.89231473861642,26.785732881000133 75.79252874448886,26.91291557206786 75.78672210159765
