Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
27.177248259892632 78.06154454338372,27.231805594026913 77.92256825909895,27.23732757552734 77.9485464595308,27.193534464798518 77.92522491371297,27.218259122275054 77.99674299462455,27.204047313884523 77.94072117538848
27.215487529614112 78.02932648339414,27.17844744313317 78.01083781952211,27.144594062808338 78.02518822259293,27.111806774179513 78.00325141745398,27.156910025826036 77.97744311773575,27.17123681483362 77.99042110955222
27.234493243426787 77.91820557565156,27.218891861510507 78.00103269572602,27.218180074842866 77.95707977414685,27.10565851551475 78.01732934819981,27.20816846286912 77.9806494002885,27.187030041700876 77.98242636834053
27.20614862545598 78.0408028969988,27.172977489936482 78.00123445535267,27.2248751978008 78.01392318120713,27.15364526683417 78.0619214632915,27.230379699035385 77.96423299240675,27.16073852485357 78.06254108410312
27.150435030155148 78.05033770228562,27.219869083115288 77.92475090049565,27.215047628172552 78.04696053547231,27.226832897302852 77.90013361640882,27.221755369579807 77.96951557478627,27.138155749049464 77.99618561607437
27.176531174135857 78.00172665453586,27.142015555319738 78.03239858568476,27.153711708848228 77.95987376530147,27.23986690771343 77.9855866956475,27.223351707398216 78.03733477200909,27.22575922635844 77.99878539226829
27.176762168964018 77.96932826964472,27.20201696604848 77.94850356258866,27.193129167194193 77.93193050270699,27.198468837975064 77.92676889373043,27.13031014626285 77.9822165256657,27.230026829928867 77.95391400171684
27.139420090334102 78.05901850682001,27.19674868360304 77.97550757603874,27.191141120121117 78.05431586876149,27.248548989345245 78.03016812230435,27.15088167728233 77.98101138151948,27.20178172636058 77.97386120666266
27.219410828176148 77.91004604687403,27.156635016133002 78.03261779210801,27.21659095698404 77.95031317231657,27.17088979175653 77.9532758265907,27.173305454128478 77.97863195452075,27.150299578017805 78.03497010300602
27.164926112304492 77.98918197826461,27.135123249886803 78.05758094534458,27.22688247518689 77.93501398056591,27.198294232954822 78.05920351381627,27.208363159268522 78.01051320332364,27.23109496826069 77.9454813029827
27.228148575028698 77.92004977954015,27.23876066232718 77.99895005025203,27.198418081257827 77.97424530271977,27.199482982110606 78.0549717837696,27.162523011044787 78.03223536685694,27.18038059139716 78.0398887288044
27.2288018910482 77.9950888179648,27.12321024721843 78.03978482409879,27.174843892835163 78.0277600267824,27.216622593139572 77.92336734891141,27.184558971500145 77.94070247443939,27.202960156990873 77.92258453034678
27.237496883869827 77.92615433749775,27.15433869265001 77.98517795991171,27.186581434046232 78.04931706650348,27.147118009021778 78.01308809138575,27.15057357845246 78.05791749154467,27.20550345781649 78.00622575870075
27.1394005894745 77.9917433426142,27.19248308693999 78.02658005345208,27.210431074650035 77.99892091734839,27.15140004549429 78.04007736484863,27.21931285339636 78.00730601975845,27.151607103513623 77.97085908251043
27.166767044648044 77.98262550735882,27.19758835150431 78.03753455196353,27.21867779162752 78.05675478712378,27.200521291069023 77.9332908026153,27.164628928532483 77.98040561294492,27.226189172503176 77.91203874592185
27.193752936914127 78.00952658917981,27.154131091359428 78.03265889923779,27.140543795605755 77.97915632345193,27.212785638750567 77.91561472696992,27.240152550171786 77.92902310202018,27.158829116415163 78.03826246161842
27.205650852301797 77.91304520747357,27.18661024128668 77.9653532261757,27.23779532029909 78.02619085838066,27.21516732188016 78.00878632618182,27.200652388983844 77.95697655489018,27.226632390952524 78.00207049723682
27.229741455906556 77.94437788817868,27.12097935931452 78.01229299541713,27.141679018566425 78.03701018133805,27.232207827459156 77.93320990493608,27.173592806135606 78.01738971153442,27.160189445456037 78.01836620533763
27.16660077311861 78.0692422273728,27.206844735361177 77.97470992851487,27.16543329528871 77.99506091156647,27.223271322596865 78.02552249871378,27.212315726706905 77.96438842082833,27.15310018607306 77.99680889592905
27.129338361330433 78.05283258770793,27.191068834104925 78.05093546586198,27.20264437142135 78.02602194253336,27.23219036479224 77.90776174766822,27.23084931557076 78.00341944863132,27.149812242011333 77.98501500761412
27.119378937314668 78.01085855319235,27.200233895699274 77.99770402018818,27.233700524588986 77.89925147400189,27.143897474161417 78.01556364171977,27.19306567332799 77.99423028615543,27.148375329401965 77.98931557535086
27.166632503927357 77.9510203006475,27.172754743931733 78.04198398204437,27.21599180393817 77.89895586784381,27.12386366130631 77.99895273525537,27.249529745124274 78.01301976504254,27.16036085328473 78.049171440248
27.19482983586694 77.99336950007618,27.199203509276106 78.04838307683016,27.211260826003116 78.02094052485872,27.138675889904707 77.98696623622106,27.20597074554728 77.92250276273793,27.23533719538844 77.95224233273458
27.210898876033816 78.04247414331647,27.17279557227147 77.98210958303376,27.140183377758305 78.01601384388405,27.16090254869038 77.96187954875026,27.118787740364745 78.02584754082537,27.23518504773136 77.89757396419161
27.183175570449258 78.03329843825398,27.16043375021652 77.9565910163879,27.158043779002092 77.96600746646341,27.242534419452323 77.97558271741413,27.18946247935073 77.92830612025482,27.218388013410014 78.0364184840464
27.16275214879518 78.01616581902758,27.18405843438873 77.95520025955915,27.22526538681338 78.0366818487348,27.134769712138795 78.00688522076678,27.22642323499039 77.91219558454438,27.15353301092994 78.07369707570214
27.189368887043237 78.03515977515818,27.186347083425474 77.97611258368475,27.156340950225424 78.04591719777243,27.206324009244256 77.92433145492907,27.17448879736165 78.03215145868988,27.24600858554751 77.98866588614027
27.21678453833837 78.02302003860999,27.169108779128006 77.96284330031392,27.13711866630133 77.9789841214554,27.23321941642593 77.96165981367453,27.231991137508484 77.89518559885818,27.220456806083906 77.94075013830769
27.165677583461864 77.96836140851276,27.210303963624668 77.99311748590668,27.16796157397595 78.04920904647298,27.16073205478787 78.00274674350383,27.160749210876045 77.98570227156075,27.114819026785195 78.02068336296914
27.1839177726025 77.94533953565838,27.231828961510104 77.92062817241187,27.172721662282612 77.97394992933793,27.13535219185379 77.99740559448978,27.24437616167334 78.00261799841505,27.160374423697288 78.01820965567578
27.14369182304636 78.02903552821029,27.1404910414539 77.98760911731281,27.229071701054767 78.02157569365593,27.191967329043592 78.01365134618496,27.161433333819435 78.03819956641117,27.176442698064534 77.96433763384017
27.228306578095584 77.97619734356829,27.23983585023332 77.91207525471498,27.20239211055507 78.039263633377,27.192219091102093 77.93779902820151,27.1553868751585 78.07188462984791,27.16879799776811 78.01064387572312
27.176796606023437 78.0481912293635,27.133570691176764 77.99619663728545,27.175779893353287 77.96654920880715,27.23429852671668 77.88386600872066,27.19119680096509 78.02710900340202,27.20435906319662 77.92492736279628
27.155727357872127 78.01584781476136,27.18622970895664 78.0372370847349,27.146018027175856 78.01697788895956,27.244279711051927 78.02875757672729,27.210660539765783 78.00707945698393,27.213438509615898 77.92164319909197
27.136356036631298 78.05192044812546,27.12479268778548 77.98780264222924,27.2228607486659 78.03627485470241,27.184853594855355 78.00265692616414,27.137945699102772 78.03302445687181,27.179315151257 78.05302881874408
27.161112407587826 77.96092439669721,27.141267290513813 78.04783279401845,27.185082465479198 77.97076114759155,27.137284847240647 78.0623391471088,27.1966564220036 78.03839804759161,27.20349879121328 77.9807122812571
27.229841390705335 77.91778091968295,27.193336046356542 78.04464748999587,27.16321792706382 78.01843486414407,27.21316261953107 78.040233612732,27.21931404102207 78.04670589585012,27.247399115197688 78.01766428485368
27.210692586404246 77.93485126826472,27.18104246027118 77.96206107643634,27.180539573981093 77.96423078873204,27.226583099727222 77.97220515310323,27.19228285473393 77.94203855422002,27.12673695925099 78.04415476733257
