Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.464142147602857 74.6305146229932,26.504511413793978 74.6346626490392,26.396137193674555 74.63018073760723,26.457400298766192 74.57521246702687,26.478836928806334 74.64080364385659,26.478836928806334 74.64080364385659
26.437846294212655 74.61478535850117,26.48131052113794 74.6661204989356,26.44421699487978 74.68538580159904,26.483257506057413 74.65745898795555,26.437031872614735 74.5863573608751,26.437031872614735 74.5863573608751
26.39218937137807 74.64667417905018,26.42173527711764 74.64808441388354,26.41438628738102 74.6110180329215,26.477330534189466 74.60626937476808,26.48735664575063 74.66100340329879,26.48735664575063 74.66100340329879
26.4468901015696 74.6833623816295,26.436322786946423 74.61338711881733,26.464201551519754 74.59213218725924,26.444482781896358 74.6874951229069,26.41012242584526 74.6396141860122,26.41012242584526 74.6396141860122
26.474789368258804 74.63757083296663,26.404971687583583 74.64767478414949,26.458971263474574 74.6190491771859,26.444482781896358 74.6874951229069,26.48409015049678 74.63414527860147,26.48409015049678 74.63414527860147
26.454697687387114 74.61652500302925,26.440437696964814 74.6269542381812,26.39895882631486 74.62976720038537,26.435339979643025 74.60449694571135,26.42181836358698 74.6400609716542,26.42181836358698 74.6400609716542
26.431835877278523 74.66034540146742,26.41940326090464 74.66119844366821,26.482081802786997 74.60843691148077,26.436455164748875 74.60518941895604,26.48185999376707 74.59943994475432,26.48185999376707 74.59943994475432
26.42145208745941 74.6663766372447,26.391888019050082 74.62889416652247,26.42373914397851 74.63612087751565,26.410718149168286 74.64968418782222,26.45008792612315 74.63245883728136,26.45008792612315 74.63245883728136
26.39899012709843 74.63519644221992,26.4236155626148 74.6017522727128,26.427160858493156 74.6353157282047,26.45461726266104 74.6830339015202,26.512362781349253 74.63892638865144,26.512362781349253 74.63892638865144
26.427920331754763 74.5948552760424,26.416163468782017 74.62789070645003,26.43426104764117 74.60044546427326,26.486151083297212 74.65847223928971,26.45714898051952 74.59627911116354,26.45714898051952 74.59627911116354
26.44473004671019 74.61129193396847,26.430884645305515 74.6786050540107,26.438876774427072 74.66441165408564,26.493490645604744 74.61762706283693,26.44769072208322 74.58098453039743,26.44769072208322 74.58098453039743
26.413520200654318 74.67067900626124,26.38453380568505 74.63287851232718,26.473768310891966 74.58899683697362,26.48753375680116 74.65701663387227,26.43832204742973 74.68413437599418,26.43832204742973 74.68413437599418
26.456061711971657 74.67628242609743,26.485076344916276 74.6503241750867,26.468945805907126 74.62710837928915,26.42914607095447 74.62596748416583,26.513955950490995 74.64255092618329,26.513955950490995 74.64255092618329
26.41294461079402 74.61170224963595,26.461341802769372 74.65625618013175,26.413877823965382 74.64893501185958,26.466054563832998 74.61410937207671,26.417382655242694 74.62903637475688,26.417382655242694 74.62903637475688
26.448140581469037 74.6649509438017,26.490202704564922 74.62471209916501,26.436858817599756 74.61395814999089,26.449501299342757 74.67178960786066,26.492877676070236 74.62764770539785,26.492877676070236 74.62764770539785
26.48045696810792 74.64864036547884,26.408986850707038 74.63977826816719,26.462525417842624 74.68049026693332,26.42904267270402 74.60606958573763,26.43605833520992 74.59286158651717,26.43605833520992 74.59286158651717
26.419236266728785 74.61406429624039,26.462441024613266 74.61653091555814,26.413754566111006 74.61698779484091,26.448580001413717 74.61010425551532,26.441090386976015 74.62629108014944,26.441090386976015 74.62629108014944
26.438870936482584 74.59780237284677,26.45533087325636 74.6498383716171,26.45289789923449 74.57824692967094,26.423959714891755 74.6216303366724,26.423535226343585 74.60124921929715,26.423535226343585 74.60124921929715
26.46049065904387 74.58992567894698,26.476532304351995 74.66985267812024,26.469494353787177 74.66781804333344,26.457717785551427 74.6869666436719,26.423420577913735 74.63257641281902,26.423420577913735 74.63257641281902
26.476939976670685 74.6731593974425,26.457523680287544 74.61121641618695,26.388535682003074 74.63809363737428,26.47473240512705 74.61641790971859,26.451809846770285 74.57702856061609,26.451809846770285 74.57702856061609
26.457930592418936 74.57616038167549,26.424067344197123 74.60941969785442,26.426023390550593 74.67442249828295,26.434675497684065 74.6458521339557,26.45869716499936 74.62355533004703,26.45869716499936 74.62355533004703
26.442161206963927 74.60486368084422,26.45863296003446 74.68862391706321,26.4520809617276 74.6571262656409,26.403227196951924 74.6389785635822,26.45524631594358 74.58851925208987,26.45524631594358 74.58851925208987
26.482930108504444 74.62913243490958,26.43059285085595 74.59193381878036,26.41687179576306 74.63369113906731,26.437441255942336 74.69461420227516,26.4863519570004 74.62214634495679,26.4863519570004 74.62214634495679
26.46296542314199 74.66784726630398,26.48910381324883 74.62125435591425,26.429758858648373 74.6831795890926,26.490519428214956 74.64459504173132,26.414512253810916 74.64025562400641,26.414512253810916 74.64025562400641
26.48157252170663 74.60017608202944,26.47761334072764 74.64104074289607,26.435642669910862 74.59660864521541,26.43136909267002 74.68928821416804,26.456856135779457 74.589755682355,26.456856135779457 74.589755682355
26.501674123306927 74.64317294457223,26.451887307609738 74.63294316211159,26.451909253962157 74.62427043578018,26.470785190681735 74.59251774277817,26.464308387622683 74.58165072136121,26.464308387622683 74.58165072136121
26.43116473321436 74.66074437887553,26.44949199830656 74.67969547748079,26.439379099999318 74.65793686896771,26.47049911421349 74.66414241902697,26.45295895343775 74.65734292989197,26.45295895343775 74.65734292989197
26.48939409430462 74.66332580696148,26.408046876434234 74.64107460629222,26.4448470717599 74.61090494621733,26.437128378950188 74.69408811165164,26.473012622697222 74.59509564550122,26.473012622697222 74.59509564550122
26.443807160721548 74.68952280843382,26.449768269237193 74.6890635053702,26.48511252308221 74.61482864467163,26.494820146015645 74.63351121632171,26.466780237245686 74.59843626716457,26.466780237245686 74.59843626716457
