Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.91948627603699 75.64984698712621,26.82929508794958 75.7941797996574,26.851238618893788 75.91399870953465,26.979579782072022 75.79091724123423,26.8232239924255 75.85902485182974,26.965772411127585 75.82836791533478
26.781518984651075 75.86532861243136,26.794116747769806 75.87617086347255,26.8117273107107 75.82352453959945,26.848414491600334 75.88988634301433,26.874005059035618 75.9146647788759,26.77191993545648 75.83639261220887
26.840094038943825 75.74314196223364,26.77239099006506 75.81863366633631,26.847567457314188 75.76205886420652,26.818446212074267 75.83340336452322,26.8917001066983 75.77795889598926,26.824767559043313 75.89963250251931
26.954875779567047 75.83720138486659,27.01489492894675 75.78931770954995,26.91359326557644 75.68533443427604,26.889445799503576 75.84232399246969,26.804859540348875 75.78127884331985,26.915489746938785 75.67148576839217
26.838731356005297 75.83177146796884,26.836654261532328 75.909755944655,26.900216599437105 75.69800058360492,26.846062300676753 75.79744548496978,26.792968250887768 75.86798943119032,26.894352902410166 75.68920485176055
26.82949072022944 75.75864139388163,26.82547892606622 75.7466883618314,26.95256220003128 75.74507820299512,26.952098883340113 75.7872691212317,26.894303149602308 75.75142254344564,26.826930785959668 75.84425935474181
26.801042639354247 75.82288675865476,26.903701492223238 75.73544016661246,26.91643591016483 75.7377158031689,26.796216102347493 75.85391659442914,26.886841722918497 75.70915943779704,26.925979473460092 75.71781476605761
26.85179512039478 75.86717229961998,26.956564796909 75.8131170701252,26.856415202212016 75.8868589037794,26.88621998009441 75.6835761098866,26.873969773577624 75.89801206583503,26.830464074236144 75.86004091768245
26.88589895115191 75.83960787199447,26.930642796717898 75.68972661258641,26.82584500169681 75.89418890441402,26.933976020671118 75.88742472862936,26.802984399701046 75.83762521532286,26.95952891324057 75.77080097776283
26.76961512389145 75.83084934790107,26.968458316066638 75.76471327015963,26.973700010227997 75.7339361667419,26.80612828051622 75.88915775960652,26.891562715708222 75.68743204264875,26.912459047085598 75.66080378352164
26.94476495732493 75.70016775455325,26.905713007604064 75.84446191615862,26.888458959445376 75.72776385915557,26.97748383881055 75.75254359659979,26.918126643237404 75.65133144527042,26.946901107850284 75.77010517937157
26.883692453917405 75.7718070215243,26.836271930288625 75.89325769454096,26.97479189713449 75.7264225387198,26.834041085482944 75.80255307473087,26.852503832547562 75.88049000915858,26.926406793305496 75.87969862523667
26.94527409008615 75.81796420868807,26.90881661193964 75.78412905213027,26.777687731368573 75.81286488036157,26.84044454706399 75.73741136309877,26.831169915379302 75.77570676530591,26.89239492048622 75.89744692025806
26.977843624215144 75.79379036142227,26.891105378943827 75.69802733828662,26.907910136148995 75.83121565226804,26.88368573537839 75.72144341901922,26.949705594237518 75.78130899522402,26.799957344767286 75.79172902811108
26.81666020629813 75.82464522564074,26.96401687473699 75.73536199585484,26.828297543414948 75.90289697279822,26.811513277012 75.87841950100443,26.981200073077947 75.81400943524604,26.821785281164985 75.81556534083465
26.962593858696547 75.71309763120904,26.76073267542425 75.85644836106559,26.903246022668895 75.8570714902376,26.814478738283036 75.81065456863797,26.9102710782474 75.78864871246073,26.821922975504837 75.830566238206
26.829258682734398 75.82191403405108,26.951981477228298 75.7306623698268,26.976841479977708 75.81199510525192,26.91339165431642 75.68050411089125,26.82307292808185 75.82701282155486,26.930601701850826 75.83387257467093
26.916972864761746 75.66354711546663,26.83176002369281 75.8707822084739,26.95224801205539 75.72778528554001,26.900542192593672 75.71626030668381,26.790221779920092 75.86886163508429,26.795880521475375 75.83915452794287
26.833923955142136 75.87733897900395,26.85568053758687 75.91742874896123,26.936585483210852 75.75992745951743,26.928415548532556 75.78990070450193,26.81828396734526 75.86452035053169,26.972365904213788 75.78574949920063
26.94120850020204 75.85753095957567,26.76976948318987 75.81762783152486,26.8444082332329 75.74129643358975,26.902437880734432 75.81315080908239,26.907748946216877 75.8476989338688,26.976065873359953 75.79508309734722
26.87215314028211 75.89889522111827,26.814394545014203 75.87927582306669,26.94766486033458 75.78935600007979,26.94064958419303 75.82340246293569,26.89852166621118 75.67359974335835,26.83841723084839 75.74929690523372
26.93322912251804 75.69500450689029,26.97908921960935 75.76948624760983,26.921436870451874 75.78169036232103,26.9259668730406 75.89582629153699,26.809136227204785 75.82375110472248,26.93339395849925 75.79846673043643
26.880894563144086 75.75876468017782,26.74825319477392 75.83853343399349,26.818635375032905 75.83191375554024,26.972474861492948 75.83962890135882,26.766698517386445 75.85360306312087,26.947246924540654 75.85498048039705
26.991881936045072 75.78450094423226,26.873191295591152 75.79346957551253,26.95737317039272 75.7985632120964,26.842209397878676 75.86885905128611,26.890055175862358 75.91602045506187,26.887616646741943 75.7725510413176
26.786580615272534 75.85725460818396,26.944288850543394 75.78116573397755,26.956639056434774 75.83620013836385,26.881264594937708 75.80503595226828,26.789719662720497 75.80427377222402,26.93151371488593 75.70842569213964
26.94328494202934 75.81561455350933,26.853226063438836 75.745383263343,26.96704418493024 75.80531473762703,26.915650083338168 75.65962782488477,26.807602362438352 75.85226823926207,26.866775581376853 75.92978893758244
26.86337814287408 75.83616612879787,26.788679657247453 75.7985997970756,26.861478125489377 75.78329028786955,26.958227318171577 75.70224185945901,26.931603398038128 75.7214786213258,26.800693539374848 75.87790780308191
26.88405943875495 75.91026650113575,26.876885742680237 75.93990651069599,26.84614384220956 75.87085168573248,26.87355377012671 75.74528215074422,26.944840512023067 75.73419127944015,26.850765967813956 75.91943148254482
